s111,s112,s123,euclidean
0.44000,0.40000,0.16000,0.08893699
0.44000,0.44000,0.12000,0.09046100
0.44000,0.48000,0.08000,0.09229745
0.44000,0.52000,0.04000,0.09442810
0.44000,0.56000,0.00000,0.09683355
0.48000,0.00000,0.52000,0.10123653
0.48000,0.04000,0.48000,0.10047507
0.48000,0.08000,0.44000,0.10001934
0.48000,0.12000,0.40000,0.09987352
0.48000,0.16000,0.36000,0.10003896
0.48000,0.20000,0.32000,0.10051412
0.48000,0.24000,0.28000,0.10085429
0.48000,0.28000,0.24000,0.10132510
0.48000,0.32000,0.20000,0.10209890
0.48000,0.36000,0.16000,0.10316888
0.48000,0.40000,0.12000,0.10445232
0.48000,0.44000,0.08000,0.10587898
0.48000,0.48000,0.04000,0.10757626
0.48000,0.52000,0.00000,0.10953157
